address,amenities,lat,link,lon,name,price,prize_range,size,tenure
Kuala Lumpur,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.194485,https://www.iproperty.com.my/property/sd-tiara-apartment-bandar-sri-damansara-5314267,101.615177,"Sd Tiara Apartment, Sri Damansara, Bandar Sri..","RM 318,000",High,830 sq. ft.,Freehold
"Jalan 57, Taman Desa Jaya, 51200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s)",3.211093,https://www.iproperty.com.my/property/kepong-central-condominium-kepong-4219604,101.629808,"Kepong Central Condominium, Kepong","RM 350,000",High,960 sq. ft.,Freehold
"Jalan Sri Hartamas 17, Taman Sri Hartamas, 50480 S, 50480, K...","Studio Bedroom(s),1 Bathroom(s)",3.164661,https://www.iproperty.com.my/property/mayfair-apartment-sri-hartamas-2926536,101.656923,"Mayfair Apartment, Sri Hartamas","RM 320,000",High,406 sq. ft.,Freehold
"No. 3, Persiaran Meranti, PJU 9,, 41050, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.188519,https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5516111,101.602509,"Sd Apartments Ii, Bandar Sri Damansara","RM 345,000",High,808 sq. ft.,Freehold
"Jalan Prima Pelangi, Bukit Prima Pelangi, 52200, Kuala Lumpu...","3+1 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.177603,https://www.iproperty.com.my/property/bougainvilla-segambut-segambut-3978825,101.64627,"Bougainvilla, Segambut, Bukit Prima Pelangi, ..","RM 360,000",High,"1,163 sq. ft.",Freehold
"Jalan 1/130, 58200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.084035,https://www.iproperty.com.my/property/meadow-park-2-jalan-klang-lama-5413950,101.678281,"Meadow Park 2, Jalan Klang Lama","RM 365,000",High,930 sq. ft.,Freehold
"Jalan Genting Kelang, Setapak, 53300, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.197378,https://www.iproperty.com.my/property/sri-pelangi-condominiums-setapak-5329738,101.713184,"Sri Pelangi Condominiums, Setapak","RM 380,000",High,931 sq. ft.,Freehold
"Jalan Sri Hartamas 17, Taman Sri Hartamas, 50480 S, 50480, K...","Studio Bedroom(s),1 Bathroom(s)",3.164661,https://www.iproperty.com.my/property/mayfair-apartment-sri-hartamas-4907738,101.656923,"Mayfair Apartment, Sri Hartamas","RM 350,000",High,410 sq. ft.,Freehold
"Jalan Sentul Pasar, Sentul,, 51000, Kuala Lumpur","2 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.20225,https://www.iproperty.com.my/property/sentul-point-sentul-5544195,101.689833,"Sentul Point, Sentul","RM 365,000",High,743 sq. ft.,Freehold
"Jalan Mas 1, Kinrara Mas, 47100, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.061098,https://www.iproperty.com.my/property/kinrara-mas-bukit-jalil-5536752,101.649411,"Kinrara Mas, Bandar Kirara, Bukit Jalil","RM 380,000",High,"1,091 sq. ft.",Freehold
