address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Jalan Aman, Desa Aman Puri, 52100, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.210202,https://www.iproperty.com.my/property/aman-dua-kepong-4060249,101.612943,"Aman Dua, Kepong","RM 280,000",Low,837 sq. ft.,Freehold
"Jalan Langkawi, 53000, Kuala Lumpur","3 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.199766,https://www.iproperty.com.my/property/teratai-mewah-apartment-block-15-17-19-21-setapak-5568503,101.709226,"Teratai Mewah Apartment Block 15,17,19,21, Se..","RM 235,000",Low,720 sq. ft.,Freehold
"No. 1, Jalan Prima 3, Metro Prima, 52100 Kepong, W, 52200, K...","3 Bedroom(s),2 Bathroom(s)",3.210221,https://www.iproperty.com.my/property/pelangi-magna-kepong-5485153,101.641045,"Pelangi Magna, Kepong","RM 200,000",Low,743 sq. ft.,Freehold
"Persiaran Meranti, 52200, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.186782,https://www.iproperty.com.my/property/sd-apartments-petaling-jaya-4643749,101.603208,"Sd Apartments, Bandar Sri Damansara, Pju, Dam..","RM 279,000",Low,811 sq. ft.,Freehold
"Jalan Langkawi, 53000, Kuala Lumpur","3 Bedroom(s),1 Bathroom(s)",3.198287,https://www.iproperty.com.my/property/teratai-mewah-apartment-setapak-5435652,101.708496,"Teratai Mewah Apartment, Setapak","RM 225,000",Low,653 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.131673,https://www.iproperty.com.my/property/seri-pinang-setia-alam-5535574,101.466674,"Seri Pinang, Shah Alam, Setia Alam","RM 288,000",Low,850 sq. ft.,Freehold
"Persiaran Seri Timah, Taman Seri Timah, 43300, Selangor","3 Bedroom(s),2 Bathroom(s)",3.023687,https://www.iproperty.com.my/property/juta-mines-balakong-5555920,101.729729,"Juta Mines, Balakong","RM 300,000",Low,947 sq. ft.,Freehold
"No. 3, Persiaran Meranti, PJU 9,, 41050, Kuala Lumpur","3 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.188519,https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5516091,101.602509,"Sd Apartments Ii, Bandar Sri Damansara","RM 268,000",Low,750 sq. ft.,Freehold
"Off Persiaran Kewajipan, Usj 8, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.038168,https://www.iproperty.com.my/property/goodyear-court-5-usj-4978580,101.592372,"Goodyear Court 5, Usj","RM 288,000",Low,750 sq. ft.,Freehold
"Precinct 12 Off Persiaran Setia Utama, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",,https://www.iproperty.com.my/property/suria-ixora-setia-alam-5362911,,"Suria Ixora, Setia Alam/Alam Nusantara, Setia..","RM 280,000",Low,700 sq. ft.,Freehold
"Perisaran setia wawasan, 40170, Selangor","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.111289,https://www.iproperty.com.my/property/trefoil-setia-alam-4372130,101.46053,"Trefoil, Setia Alam","RM 285,000",Low,486 sq. ft.,Freehold
Selangor,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",2.993518,https://www.iproperty.com.my/property/selesa-apartment-kajang-5311492,101.787406,"Selesa Apartment, Taman Damai Mewah Kajang, K..","RM 295,000",Low,957 sq. ft.,Freehold
"Off Lorong D1/5 Desa Aman Puri, 52100, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s)",3.215459,https://www.iproperty.com.my/property/desa-satu-kepong-3409992,101.615295,"Desa Satu, Desa Aman Puri, Kepong","RM 168,000",Low,655 sq. ft.,Freehold
"Jalan Putra Indah 9/1C, Seksyen 9, Putra Heights, Selangor","3 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",2.968689,https://www.iproperty.com.my/property/seri-mutiara-putra-heights-5537878,101.766185,"Seri Mutiara, Putra Heights","RM 165,000",Low,650 sq. ft.,Freehold
"PULAU INDAH, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",2.953798,https://www.iproperty.com.my/property/semi-detached-house-klang-5521134,101.333899,"Pulau Indah, Klang","RM 250,000",Low,"1,500 sq. ft.",Freehold
"Jalan Merbuk, 47100, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.058226,https://www.iproperty.com.my/property/sri-cempaka-puchong-5518282,101.629731,"Sri Cempaka, Bandar Puchong Jaya, Puchong","RM 290,000",Low,810 sq. ft.,Freehold
"Persiaran Apec, 63000 Cyberjaya, Selangor, 63000, Selangor","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",,https://www.iproperty.com.my/property/cybersquare-cyberjaya-5562116,,"Cybersquare, Cyberjaya","RM 290,000",Low,450 sq. ft.,Freehold
"Jalan Setia Gemilang U13/45B, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.102121,https://www.iproperty.com.my/property/seri-jati-setia-alam-5569526,101.449127,"Seri Jati, Setia Alam","RM 280,000",Low,813 sq. ft.,Freehold
"Off Persiaran Jubli Perak in Seksyen 22, Selangor","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.068376,https://www.iproperty.com.my/property/alam-sanjung-shah-alam-5556621,101.554049,"Alam Sanjung, Subang West, Shah Alam","RM 185,000",Low,450 sq. ft.,Freehold
"No. 2, Jalan Arca U8/80, Taman Bukit Jelutong, Sec, 40150, S...","3 Bedroom(s),2 Bathroom(s)",3.109331,https://www.iproperty.com.my/property/pangsapuri-seroja-shah-alam-5173913,101.536705,"Pangsapuri Seroja, Shah Alam","RM 285,000",Low,850 sq. ft.,Freehold
"Jalan Seksyen 3/1A, Taman Kajang Utama, Section 3,, 43000, S...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",2.974048,https://www.iproperty.com.my/property/pesona-apartment-kajang-5264094,101.800707,"Pesona Apartment, Kajang , Bangi , Semenyih, ..","RM 220,000",Low,972 sq. ft.,Freehold
"Jalan Reko, 43000, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",2.961736,https://www.iproperty.com.my/property/residensi-zamrud-kajang-5568259,101.79415,"Residensi Zamrud, Kajang","RM 297,000",Low,"1,023 sq. ft.",Freehold
Selangor,"1+2 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.081337,https://www.iproperty.com.my/property/mentari-court-1-bandar-sunway-5539391,101.610711,"Mentari Court 1, Bandar Sunway","RM 260,000",Low,"2,500 sq. ft.",Freehold
"Persiaran Puchong Jaya Selatan, Bandar Bandar Jaya, 47100, S...","3 Bedroom(s),2 Bathroom(s)",3.041269,https://www.iproperty.com.my/property/sutramas-puchong-5451517,101.623848,"Sutramas, Puchong","RM 300,000",Low,815 sq. ft.,Freehold
"Taman Universiti Indah,Seri Kembangan, Selangor, 43300, Sela...","3 Bedroom(s),2 Bathroom(s)",3.007794,https://www.iproperty.com.my/property/red-ruby-seri-kembangan-5259668,101.691174,"Red Ruby, Taman Universiti Indah, Seri Kemban..","RM 238,000",Low,842 sq. ft.,Freehold
"Bandar Puchong Jaya, 47100, 47100, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.05104,https://www.iproperty.com.my/property/sri-teratai-apartment-puchong-5326723,101.633484,"Sri Teratai Apartment, Puchong","RM 275,000",Low,800 sq. ft.,Freehold
"Bandar Puchong Jaya, 47100, 47100, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.05104,https://www.iproperty.com.my/property/sri-teratai-apartment-puchong-5426030,101.633484,"Sri Teratai Apartment, Puchong","RM 275,000",Low,800 sq. ft.,Freehold
"Jalan Kelisa 2, 43500, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",2.951058,https://www.iproperty.com.my/property/kajang-parc-kajang-5264063,101.792093,"Kajang Parc, Kajang","RM 298,000",Low,"1,023 sq. ft.",Freehold
"Bandar Kajang,, 43000, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",2.991997,https://www.iproperty.com.my/property/villa-court-goodview-heights-kajang-kajang-5561535,101.790839,"Villa Court Goodview Heights Kajang, Kajang","RM 277,000",Low,980 sq. ft.,Freehold
"Gombak, Batu Caves, Selangor, 68100, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.253582,https://www.iproperty.com.my/property/amara-boulevard-and-service-residences-batu-caves-5373348,101.669762,"Amara Boulevard And Service Residences, Batu ..","RM 300,000",Low,829 sq. ft.,Freehold
"Taman Universiti Indah,Seri Kembangan, Selangor, 43300, Sela...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.007794,https://www.iproperty.com.my/property/red-ruby-seri-kembangan-5119909,101.691174,"Red Ruby, Taman Universiti Indah, Seri Kemban..","RM 270,000",Low,850 sq. ft.,Freehold
"Jalan Pelangi, Kampung Bukit Kuda, 41300 Klang, Se, 41150, S...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.050911,https://www.iproperty.com.my/property/regensi-klang-5302837,101.463118,"Regensi, Klang","RM 270,000",Low,979 sq. ft.,Freehold
"Jalan Bukit Mutiara 4, Taman Bukit Mutiara, 43000, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.01258,https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5561269,101.811356,"Pangsapuri Saujana Permai, Mutiara Height, Ka..","RM 300,000",Low,"10,069 sq. ft.",Freehold
"Jalan Permaisuri 1/6, Taman Bukit Permai, 43000, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.051661,https://www.iproperty.com.my/property/sri-hijau-cheras-5264147,101.797493,"Sri Hijau, Bandar Mahkota Cheras, Cheras","RM 260,000",Low,913 sq. ft.,Freehold
"Jalan Sri Tanjung 17 Off Jalan Sungai Lalang,Taman Sri Tanju...","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",2.949975,https://www.iproperty.com.my/property/taman-sri-tanjung-(semenyih)-flat-semenyih-5563542,101.840841,"Taman Sri Tanjung (Semenyih) Flat, Semenyih","RM 281,000",Low,"1,033 sq. ft.",Freehold
"Gombak, Batu Caves, Selangor, 68100, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.253582,https://www.iproperty.com.my/property/amara-boulevard-and-service-residences-batu-caves-3965557,101.669762,"Amara Boulevard And Service Residences, Batu ..","RM 300,000",Low,829 sq. ft.,Freehold
"No. 3 Jalan Anggerik Tania 31/112, Kota Kemuning,, 40150, Se...","3 Bedroom(s),2 Bathroom(s)",2.991106,https://www.iproperty.com.my/property/pangsapuri-randa-shah-alam-5550845,101.530487,"Pangsapuri Randa, Shah Alam","RM 288,000",Low,718 sq. ft.,Freehold
